id_wad,new_sounds,new_graphics,new_music,dehacked
0001,TRUE,TRUE,TRUE,TRUE
0002,FALSE,TRUE,FALSE,TRUE
0003,TRUE,TRUE,TRUE,NULL
0004,TRUE,TRUE,TRUE,FALSE
0005,FALSE,TRUE,TRUE,FALSE
0006,TRUE,TRUE,TRUE,TRUE
0007,FALSE,FALSE,FALSE,FALSE
0008,FALSE,TRUE,TRUE,FALSE
0009,FALSE,TRUE,TRUE,FALSE
0010,TRUE,TRUE,TRUE,NULL
0011,TRUE,TRUE,TRUE,TRUE
0012,FALSE,TRUE,TRUE,TRUE
0013,FALSE,TRUE,TRUE,FALSE
0014,TRUE,TRUE,TRUE,FALSE
0015,NULL,TRUE,TRUE,NULL
0016,FALSE,TRUE,TRUE,FALSE
0017,TRUE,TRUE,FALSE,TRUE
0018,FALSE,TRUE,TRUE,FALSE
0019,FALSE,TRUE,TRUE,FALSE
0020,TRUE,TRUE,TRUE,FALSE
0021,TRUE,TRUE,TRUE,FALSE
0022,FALSE,TRUE,TRUE,TRUE
0023,FALSE,TRUE,TRUE,TRUE
0024,FALSE,TRUE,TRUE,TRUE
0025,TRUE,TRUE,TRUE,TRUE
0026,FALSE,TRUE,TRUE,FALSE
0027,TRUE,TRUE,TRUE,FALSE
0028,TRUE,TRUE,TRUE,NULL
0029,NULL,NULL,NULL,NULL
0030,FALSE,TRUE,TRUE,FALSE
0031,TRUE,TRUE,TRUE,FALSE
0032,TRUE,TRUE,TRUE,TRUE
0033,FALSE,TRUE,TRUE,TRUE
0034,FALSE,FALSE,FALSE,FALSE
0035,TRUE,TRUE,TRUE,TRUE
0036,TRUE,TRUE,FALSE,TRUE
0037,FALSE,TRUE,TRUE,TRUE
0038,TRUE,TRUE,TRUE,TRUE
0039,TRUE,TRUE,TRUE,FALSE
0040,FALSE,TRUE,TRUE,FALSE
0041,TRUE,TRUE,TRUE,TRUE
0042,FALSE,TRUE,TRUE,TRUE
0043,TRUE,TRUE,TRUE,NULL
0044,TRUE,TRUE,TRUE,FALSE
0045,TRUE,TRUE,TRUE,FALSE
0046,FALSE,TRUE,FALSE,FALSE
0047,TRUE,TRUE,TRUE,TRUE
0048,NULL,TRUE,TRUE,NULL
0049,FALSE,TRUE,FALSE,FALSE
0050,TRUE,TRUE,TRUE,TRUE
0051,TRUE,TRUE,TRUE,TRUE
0052,TRUE,TRUE,TRUE,TRUE
0053,TRUE,TRUE,TRUE,NULL
0054,TRUE,TRUE,FALSE,TRUE
0055,TRUE,TRUE,TRUE,TRUE
0056,TRUE,TRUE,TRUE,FALSE
0057,TRUE,TRUE,TRUE,FALSE
0058,TRUE,TRUE,TRUE,TRUE
0059,TRUE,TRUE,TRUE,FALSE
0060,FALSE,TRUE,TRUE,TRUE
0061,NULL,NULL,NULL,NULL
0062,FALSE,TRUE,TRUE,NULL
0063,FALSE,TRUE,TRUE,FALSE
0064,TRUE,TRUE,TRUE,TRUE
0065,TRUE,TRUE,TRUE,FALSE
0066,TRUE,TRUE,TRUE,NULL
0067,FALSE,TRUE,TRUE,TRUE
0068,FALSE,TRUE,FALSE,TRUE
0069,TRUE,TRUE,TRUE,TRUE
0070,TRUE,TRUE,TRUE,NULL
0071,FALSE,TRUE,TRUE,TRUE
0072,TRUE,TRUE,TRUE,FALSE
0073,TRUE,TRUE,TRUE,TRUE
0074,FALSE,TRUE,TRUE,TRUE
0075,FALSE,TRUE,TRUE,TRUE
0076,FALSE,TRUE,TRUE,TRUE
0077,TRUE,TRUE,TRUE,TRUE
0078,FALSE,TRUE,FALSE,NULL
0079,TRUE,TRUE,TRUE,FALSE
0080,FALSE,TRUE,TRUE,FALSE
0081,FALSE,TRUE,FALSE,TRUE
0082,FALSE,FALSE,TRUE,FALSE
0083,TRUE,TRUE,TRUE,NULL
0084,FALSE,TRUE,TRUE,TRUE
0085,FALSE,TRUE,TRUE,TRUE
0086,TRUE,TRUE,TRUE,FALSE
0087,FALSE,FALSE,TRUE,FALSE
0088,FALSE,TRUE,TRUE,TRUE
0089,TRUE,TRUE,TRUE,FALSE
0090,FALSE,TRUE,TRUE,FALSE
0091,FALSE,TRUE,TRUE,TRUE
0092,FALSE,TRUE,FALSE,TRUE
0093,FALSE,TRUE,TRUE,TRUE
0094,TRUE,TRUE,TRUE,NULL
0095,FALSE,TRUE,TRUE,TRUE
0096,FALSE,TRUE,TRUE,TRUE
0097,FALSE,TRUE,TRUE,FALSE
0098,FALSE,TRUE,TRUE,TRUE
0099,TRUE,TRUE,TRUE,FALSE
0100,TRUE,TRUE,TRUE,TRUE
0101,FALSE,FALSE,TRUE,TRUE
0102,TRUE,TRUE,TRUE,NULL
0103,FALSE,TRUE,TRUE,TRUE
0104,TRUE,TRUE,TRUE,FALSE
0105,FALSE,TRUE,TRUE,FALSE
0106,TRUE,TRUE,TRUE,TRUE
0107,TRUE,TRUE,TRUE,TRUE
0108,FALSE,TRUE,TRUE,TRUE
0109,TRUE,TRUE,TRUE,TRUE
0110,TRUE,TRUE,TRUE,NULL
0111,FALSE,TRUE,TRUE,TRUE
0112,TRUE,TRUE,TRUE,TRUE
0113,FALSE,FALSE,TRUE,TRUE
0114,TRUE,TRUE,TRUE,FALSE
0115,FALSE,TRUE,TRUE,TRUE
0116,FALSE,TRUE,TRUE,FALSE
0117,TRUE,TRUE,TRUE,TRUE
0118,FALSE,TRUE,TRUE,TRUE
0119,FALSE,TRUE,TRUE,FALSE
0120,FALSE,TRUE,TRUE,TRUE
0121,FALSE,FALSE,FALSE,TRUE
0122,FALSE,FALSE,FALSE,FALSE
0123,TRUE,TRUE,TRUE,TRUE
0124,TRUE,TRUE,NULL,TRUE
0125,FALSE,TRUE,TRUE,TRUE
0126,FALSE,FALSE,NULL,TRUE
0127,TRUE,TRUE,TRUE,NULL
0128,TRUE,TRUE,TRUE,TRUE
0129,TRUE,TRUE,TRUE,TRUE
0130,FALSE,TRUE,TRUE,TRUE
0131,FALSE,TRUE,TRUE,TRUE
0132,TRUE,TRUE,TRUE,NULL
0133,TRUE,TRUE,TRUE,FALSE
0134,TRUE,TRUE,TRUE,FALSE
0135,FALSE,TRUE,FALSE,TRUE
0136,TRUE,TRUE,TRUE,TRUE
0137,FALSE,TRUE,TRUE,FALSE
0138,TRUE,TRUE,TRUE,TRUE
0139,TRUE,TRUE,TRUE,TRUE
0140,TRUE,TRUE,TRUE,TRUE
0141,TRUE,TRUE,TRUE,TRUE
0142,TRUE,TRUE,TRUE,FALSE
0143,NULL,TRUE,NULL,NULL
0144,TRUE,TRUE,TRUE,FALSE
0145,NULL,NULL,NULL,NULL
0146,TRUE,TRUE,TRUE,TRUE
0147,TRUE,TRUE,TRUE,TRUE
0148,TRUE,TRUE,TRUE,TRUE
0149,TRUE,TRUE,TRUE,TRUE
0150,TRUE,TRUE,TRUE,TRUE
0151,NULL,TRUE,NULL,NULL
0152,TRUE,TRUE,TRUE,FALSE
0153,TRUE,TRUE,TRUE,TRUE
0154,TRUE,TRUE,TRUE,FALSE
0155,TRUE,TRUE,TRUE,FALSE
0156,TRUE,TRUE,TRUE,FALSE
0157,NULL,TRUE,TRUE,NULL
0158,TRUE,TRUE,TRUE,FALSE
0159,FALSE,TRUE,FALSE,FALSE
0160,TRUE,TRUE,TRUE,FALSE
0161,TRUE,TRUE,TRUE,TRUE
0162,TRUE,TRUE,TRUE,FALSE
